集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,現地法人企業数（社）
1995,03,岩手県,1,アジア州,108,香港,1
1995,03,岩手県,1,アジア州,113,マレーシア,1
1995,04,宮城県,1,アジア州,103,大韓民国,1
1995,04,宮城県,1,アジア州,108,香港,1
1995,04,宮城県,1,アジア州,111,タイ,1
1995,04,宮城県,1,アジア州,112,シンガポール,1
1995,04,宮城県,1,アジア州,117,フィリピン,1
1995,04,宮城県,3,北アメリカ州,302,カナダ,1
1995,04,宮城県,3,北アメリカ州,304,アメリカ合衆国,2
1995,04,宮城県,6,大洋州,601,オーストラリア,1
1995,06,山形県,1,アジア州,105,中華人民共和国,2
1995,06,山形県,1,アジア州,106,台湾,2
1995,06,山形県,1,アジア州,108,香港,1
1995,06,山形県,1,アジア州,111,タイ,1
1995,06,山形県,2,ヨーロッパ州,213,ドイツ,1
1995,06,山形県,3,北アメリカ州,304,アメリカ合衆国,4
1995,07,福島県,1,アジア州,105,中華人民共和国,1
1995,07,福島県,3,北アメリカ州,304,アメリカ合衆国,1
1995,07,福島県,3,北アメリカ州,305,メキシコ,1
1995,08,茨城県,1,アジア州,103,大韓民国,1
1995,08,茨城県,1,アジア州,105,中華人民共和国,2
1995,08,茨城県,1,アジア州,111,タイ,1
1995,09,栃木県,1,アジア州,103,大韓民国,1
1995,09,栃木県,1,アジア州,105,中華人民共和国,3
1995,09,栃木県,1,アジア州,106,台湾,2
1995,09,栃木県,1,アジア州,108,香港,2
1995,09,栃木県,1,アジア州,112,シンガポール,2
1995,09,栃木県,1,アジア州,113,マレーシア,2
1995,09,栃木県,3,北アメリカ州,304,アメリカ合衆国,1
1995,09,栃木県,6,大洋州,601,オーストラリア,1
1995,10,群馬県,1,アジア州,103,大韓民国,1
1995,10,群馬県,1,アジア州,105,中華人民共和国,1
1995,10,群馬県,1,アジア州,106,台湾,2
1995,10,群馬県,1,アジア州,108,香港,1
1995,10,群馬県,1,アジア州,111,タイ,3
1995,10,群馬県,1,アジア州,117,フィリピン,2
1995,10,群馬県,2,ヨーロッパ州,205,英国,1
1995,10,群馬県,3,北アメリカ州,304,アメリカ合衆国,4
1995,10,群馬県,3,北アメリカ州,305,メキシコ,1
1995,11,埼玉県,1,アジア州,103,大韓民国,1
1995,11,埼玉県,1,アジア州,105,中華人民共和国,3
1995,11,埼玉県,1,アジア州,106,台湾,4
1995,11,埼玉県,1,アジア州,108,香港,2
1995,11,埼玉県,1,アジア州,111,タイ,5
1995,11,埼玉県,1,アジア州,112,シンガポール,2
1995,11,埼玉県,1,アジア州,113,マレーシア,5
1995,11,埼玉県,1,アジア州,117,フィリピン,3
1995,11,埼玉県,1,アジア州,118,インドネシア,2
1995,11,埼玉県,1,アジア州,127,バングラデシュ,1
1995,11,埼玉県,2,ヨーロッパ州,205,英国,5
1995,11,埼玉県,2,ヨーロッパ州,213,ドイツ,2
1995,11,埼玉県,2,ヨーロッパ州,215,スイス,1
