集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,現地法人企業数_増減率（％）
1995,03,岩手県,1,アジア州,108,香港,-
1995,03,岩手県,1,アジア州,113,マレーシア,-
1995,04,宮城県,1,アジア州,103,大韓民国,-
1995,04,宮城県,1,アジア州,108,香港,-
1995,04,宮城県,1,アジア州,111,タイ,-
1995,04,宮城県,1,アジア州,112,シンガポール,-
1995,04,宮城県,1,アジア州,117,フィリピン,-
1995,04,宮城県,3,北アメリカ州,302,カナダ,-
1995,04,宮城県,3,北アメリカ州,304,アメリカ合衆国,-
1995,04,宮城県,6,大洋州,601,オーストラリア,-
1995,06,山形県,1,アジア州,105,中華人民共和国,-
1995,06,山形県,1,アジア州,106,台湾,-
1995,06,山形県,1,アジア州,108,香港,-
1995,06,山形県,1,アジア州,111,タイ,-
1995,06,山形県,2,ヨーロッパ州,213,ドイツ,-
1995,06,山形県,3,北アメリカ州,304,アメリカ合衆国,-
1995,07,福島県,1,アジア州,105,中華人民共和国,-
1995,07,福島県,3,北アメリカ州,304,アメリカ合衆国,-
1995,07,福島県,3,北アメリカ州,305,メキシコ,-
1995,08,茨城県,1,アジア州,103,大韓民国,-
1995,08,茨城県,1,アジア州,105,中華人民共和国,-
1995,08,茨城県,1,アジア州,111,タイ,-
1995,09,栃木県,1,アジア州,103,大韓民国,-
1995,09,栃木県,1,アジア州,105,中華人民共和国,-
1995,09,栃木県,1,アジア州,106,台湾,-
1995,09,栃木県,1,アジア州,108,香港,-
1995,09,栃木県,1,アジア州,112,シンガポール,-
1995,09,栃木県,1,アジア州,113,マレーシア,-
1995,09,栃木県,3,北アメリカ州,304,アメリカ合衆国,-
1995,09,栃木県,6,大洋州,601,オーストラリア,-
1995,10,群馬県,1,アジア州,103,大韓民国,-
1995,10,群馬県,1,アジア州,105,中華人民共和国,-
1995,10,群馬県,1,アジア州,106,台湾,-
1995,10,群馬県,1,アジア州,108,香港,-
1995,10,群馬県,1,アジア州,111,タイ,-
1995,10,群馬県,1,アジア州,117,フィリピン,-
1995,10,群馬県,2,ヨーロッパ州,205,英国,-
1995,10,群馬県,3,北アメリカ州,304,アメリカ合衆国,-
1995,10,群馬県,3,北アメリカ州,305,メキシコ,-
1995,11,埼玉県,1,アジア州,103,大韓民国,-
1995,11,埼玉県,1,アジア州,105,中華人民共和国,-
1995,11,埼玉県,1,アジア州,106,台湾,-
1995,11,埼玉県,1,アジア州,108,香港,-
1995,11,埼玉県,1,アジア州,111,タイ,-
1995,11,埼玉県,1,アジア州,112,シンガポール,-
1995,11,埼玉県,1,アジア州,113,マレーシア,-
1995,11,埼玉県,1,アジア州,117,フィリピン,-
1995,11,埼玉県,1,アジア州,118,インドネシア,-
1995,11,埼玉県,1,アジア州,127,バングラデシュ,-
1995,11,埼玉県,2,ヨーロッパ州,205,英国,-
1995,11,埼玉県,2,ヨーロッパ州,213,ドイツ,-
1995,11,埼玉県,2,ヨーロッパ州,215,スイス,-
1995,11,埼玉県,2,ヨーロッパ州,217,ポルトガル,-
1995,11,埼玉県,3,北アメリカ州,302,カナダ,-
1995,11,埼玉県,3,北アメリカ州,304,アメリカ合衆国,-
1995,11,埼玉県,3,北アメリカ州,305,メキシコ,-
1995,11,埼玉県,4,南アメリカ州,410,ブラジル,-
1995,12,千葉県,1,アジア州,103,大韓民国,-
1995,12,千葉県,1,アジア州,105,中華人民共和国,-
1995,12,千葉県,1,アジア州,106,台湾,-
1995,12,千葉県,1,アジア州,108,香港,-
1995,12,千葉県,1,アジア州,111,タイ,-
1995,12,千葉県,1,アジア州,112,シンガポール,-
1995,12,千葉県,1,アジア州,113,マレーシア,-
1995,12,千葉県,1,アジア州,117,フィリピン,-
1995,12,千葉県,1,アジア州,118,インドネシア,-
1995,12,千葉県,1,アジア州,123,インド,-
1995,12,千葉県,2,ヨーロッパ州,205,英国,-
1995,12,千葉県,2,ヨーロッパ州,207,オランダ,-
