集計年,都道府県コード,都道府県名,地域コード,地域名,国コード,国名,産業大分類コード,産業大分類名,現地法人企業数（社）
1995,03,岩手県,1,アジア州,108,香港,E,製造業,1
1995,03,岩手県,1,アジア州,113,マレーシア,E,製造業,1
1995,04,宮城県,1,アジア州,103,大韓民国,E,製造業,1
1995,04,宮城県,1,アジア州,108,香港,I,卸売業，小売業,1
1995,04,宮城県,1,アジア州,111,タイ,E,製造業,1
1995,04,宮城県,1,アジア州,112,シンガポール,I,卸売業，小売業,1
1995,04,宮城県,1,アジア州,117,フィリピン,E,製造業,1
1995,04,宮城県,3,北アメリカ州,302,カナダ,I,卸売業，小売業,1
1995,04,宮城県,3,北アメリカ州,304,アメリカ合衆国,E,製造業,1
1995,04,宮城県,3,北アメリカ州,304,アメリカ合衆国,I,卸売業，小売業,1
1995,04,宮城県,6,大洋州,601,オーストラリア,I,卸売業，小売業,1
1995,06,山形県,1,アジア州,105,中華人民共和国,E,製造業,2
1995,06,山形県,1,アジア州,106,台湾,E,製造業,2
1995,06,山形県,1,アジア州,108,香港,I,卸売業，小売業,1
1995,06,山形県,1,アジア州,111,タイ,E,製造業,1
1995,06,山形県,2,ヨーロッパ州,213,ドイツ,R,サービス業（他に分類されないもの）,1
1995,06,山形県,3,北アメリカ州,304,アメリカ合衆国,E,製造業,3
1995,06,山形県,3,北アメリカ州,304,アメリカ合衆国,R,サービス業（他に分類されないもの）,1
1995,07,福島県,1,アジア州,105,中華人民共和国,E,製造業,1
1995,07,福島県,3,北アメリカ州,304,アメリカ合衆国,E,製造業,1
1995,07,福島県,3,北アメリカ州,305,メキシコ,E,製造業,1
1995,08,茨城県,1,アジア州,103,大韓民国,E,製造業,1
1995,08,茨城県,1,アジア州,105,中華人民共和国,E,製造業,2
1995,08,茨城県,1,アジア州,111,タイ,E,製造業,1
1995,09,栃木県,1,アジア州,103,大韓民国,E,製造業,1
1995,09,栃木県,1,アジア州,105,中華人民共和国,E,製造業,3
1995,09,栃木県,1,アジア州,106,台湾,E,製造業,2
1995,09,栃木県,1,アジア州,108,香港,I,卸売業，小売業,2
1995,09,栃木県,1,アジア州,112,シンガポール,E,製造業,1
1995,09,栃木県,1,アジア州,112,シンガポール,I,卸売業，小売業,1
1995,09,栃木県,1,アジア州,113,マレーシア,E,製造業,2
1995,09,栃木県,3,北アメリカ州,304,アメリカ合衆国,E,製造業,1
1995,09,栃木県,6,大洋州,601,オーストラリア,N,生活関連サービス業，娯楽業,1
1995,10,群馬県,1,アジア州,103,大韓民国,E,製造業,1
1995,10,群馬県,1,アジア州,105,中華人民共和国,E,製造業,1
1995,10,群馬県,1,アジア州,106,台湾,E,製造業,2
1995,10,群馬県,1,アジア州,108,香港,E,製造業,1
1995,10,群馬県,1,アジア州,111,タイ,E,製造業,3
1995,10,群馬県,1,アジア州,117,フィリピン,E,製造業,2
1995,10,群馬県,2,ヨーロッパ州,205,英国,E,製造業,1
1995,10,群馬県,3,北アメリカ州,304,アメリカ合衆国,E,製造業,4
1995,10,群馬県,3,北アメリカ州,305,メキシコ,E,製造業,1
1995,11,埼玉県,1,アジア州,103,大韓民国,E,製造業,1
1995,11,埼玉県,1,アジア州,105,中華人民共和国,E,製造業,3
1995,11,埼玉県,1,アジア州,106,台湾,E,製造業,4
1995,11,埼玉県,1,アジア州,108,香港,E,製造業,2
1995,11,埼玉県,1,アジア州,111,タイ,E,製造業,5
1995,11,埼玉県,1,アジア州,112,シンガポール,E,製造業,2
1995,11,埼玉県,1,アジア州,113,マレーシア,E,製造業,5
1995,11,埼玉県,1,アジア州,117,フィリピン,E,製造業,3
1995,11,埼玉県,1,アジア州,118,インドネシア,E,製造業,2
1995,11,埼玉県,1,アジア州,127,バングラデシュ,E,製造業,1
1995,11,埼玉県,2,ヨーロッパ州,205,英国,E,製造業,5
1995,11,埼玉県,2,ヨーロッパ州,213,ドイツ,E,製造業,1
1995,11,埼玉県,2,ヨーロッパ州,213,ドイツ,I,卸売業，小売業,1
1995,11,埼玉県,2,ヨーロッパ州,215,スイス,E,製造業,1
1995,11,埼玉県,2,ヨーロッパ州,217,ポルトガル,E,製造業,1
1995,11,埼玉県,3,北アメリカ州,302,カナダ,E,製造業,1
1995,11,埼玉県,3,北アメリカ州,304,アメリカ合衆国,E,製造業,15
1995,11,埼玉県,3,北アメリカ州,304,アメリカ合衆国,I,卸売業，小売業,4
1995,11,埼玉県,3,北アメリカ州,304,アメリカ合衆国,N,生活関連サービス業，娯楽業,1
1995,11,埼玉県,3,北アメリカ州,305,メキシコ,E,製造業,1
1995,11,埼玉県,4,南アメリカ州,410,ブラジル,E,製造業,1
1995,12,千葉県,1,アジア州,103,大韓民国,D,建設業,1
1995,12,千葉県,1,アジア州,103,大韓民国,E,製造業,4
1995,12,千葉県,1,アジア州,103,大韓民国,L,学術研究，専門・技術サービス業,1
1995,12,千葉県,1,アジア州,105,中華人民共和国,E,製造業,2
1995,12,千葉県,1,アジア州,105,中華人民共和国,I,卸売業，小売業,1
1995,12,千葉県,1,アジア州,106,台湾,E,製造業,6
1995,12,千葉県,1,アジア州,106,台湾,I,卸売業，小売業,1
1995,12,千葉県,1,アジア州,108,香港,I,卸売業，小売業,2
1995,12,千葉県,1,アジア州,108,香港,J,金融業，保険業,1
1995,12,千葉県,1,アジア州,108,香港,K,不動産業，物品賃貸業,1
1995,12,千葉県,1,アジア州,111,タイ,D,建設業,1
1995,12,千葉県,1,アジア州,111,タイ,E,製造業,3
1995,12,千葉県,1,アジア州,112,シンガポール,E,製造業,1
1995,12,千葉県,1,アジア州,112,シンガポール,I,卸売業，小売業,1
1995,12,千葉県,1,アジア州,112,シンガポール,K,不動産業，物品賃貸業,1
1995,12,千葉県,1,アジア州,113,マレーシア,D,建設業,1
1995,12,千葉県,1,アジア州,113,マレーシア,E,製造業,2
1995,12,千葉県,1,アジア州,117,フィリピン,E,製造業,1
1995,12,千葉県,1,アジア州,117,フィリピン,K,不動産業，物品賃貸業,1
1995,12,千葉県,1,アジア州,118,インドネシア,E,製造業,1
1995,12,千葉県,1,アジア州,123,インド,D,建設業,1
1995,12,千葉県,2,ヨーロッパ州,205,英国,I,卸売業，小売業,1
1995,12,千葉県,2,ヨーロッパ州,205,英国,K,不動産業，物品賃貸業,1
1995,12,千葉県,2,ヨーロッパ州,207,オランダ,K,不動産業，物品賃貸業,1
1995,12,千葉県,2,ヨーロッパ州,209,ルクセンブルク,I,卸売業，小売業,1
1995,12,千葉県,2,ヨーロッパ州,213,ドイツ,D,建設業,1
1995,12,千葉県,2,ヨーロッパ州,213,ドイツ,E,製造業,1
1995,12,千葉県,2,ヨーロッパ州,213,ドイツ,I,卸売業，小売業,1
1995,12,千葉県,2,ヨーロッパ州,233,キプロス,J,金融業，保険業,1
1995,12,千葉県,2,ヨーロッパ州,234,トルコ,D,建設業,1
1995,12,千葉県,3,北アメリカ州,302,カナダ,I,卸売業，小売業,1
1995,12,千葉県,3,北アメリカ州,302,カナダ,N,生活関連サービス業，娯楽業,2
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,C,鉱業，採石業，砂利採取業,1
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,D,建設業,1
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,E,製造業,7
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,I,卸売業，小売業,3
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,J,金融業，保険業,2
1995,12,千葉県,3,北アメリカ州,304,アメリカ合衆国,K,不動産業，物品賃貸業,1
1995,12,千葉県,3,北アメリカ州,312,パナマ,J,金融業，保険業,20
1995,12,千葉県,3,北アメリカ州,315,バハマ,J,金融業，保険業,1
1995,12,千葉県,3,北アメリカ州,399,その他の北アメリカ州,J,金融業，保険業,10
1995,12,千葉県,5,アフリカ州,515,リベリア,J,金融業，保険業,4
1995,12,千葉県,6,大洋州,601,オーストラリア,I,卸売業，小売業,1
1995,13,東京都,1,アジア州,103,大韓民国,D,建設業,1
1995,13,東京都,1,アジア州,103,大韓民国,E,製造業,105
1995,13,東京都,1,アジア州,103,大韓民国,G,情報通信業,2
1995,13,東京都,1,アジア州,103,大韓民国,H,運輸業，郵便業,3
1995,13,東京都,1,アジア州,103,大韓民国,I,卸売業，小売業,17
1995,13,東京都,1,アジア州,103,大韓民国,K,不動産業，物品賃貸業,3
1995,13,東京都,1,アジア州,103,大韓民国,M,宿泊業，飲食サービス業,3
1995,13,東京都,1,アジア州,103,大韓民国,N,生活関連サービス業，娯楽業,1
1995,13,東京都,1,アジア州,103,大韓民国,R,サービス業（他に分類されないもの）,4
1995,13,東京都,1,アジア州,105,中華人民共和国,A,農業，林業,7
1995,13,東京都,1,アジア州,105,中華人民共和国,B,漁業,5
1995,13,東京都,1,アジア州,105,中華人民共和国,C,鉱業，採石業，砂利採取業,1
1995,13,東京都,1,アジア州,105,中華人民共和国,D,建設業,5
1995,13,東京都,1,アジア州,105,中華人民共和国,E,製造業,302
1995,13,東京都,1,アジア州,105,中華人民共和国,G,情報通信業,10
1995,13,東京都,1,アジア州,105,中華人民共和国,H,運輸業，郵便業,17
1995,13,東京都,1,アジア州,105,中華人民共和国,I,卸売業，小売業,23
1995,13,東京都,1,アジア州,105,中華人民共和国,J,金融業，保険業,6
1995,13,東京都,1,アジア州,105,中華人民共和国,K,不動産業，物品賃貸業,10
1995,13,東京都,1,アジア州,105,中華人民共和国,L,学術研究，専門・技術サービス業,3
1995,13,東京都,1,アジア州,105,中華人民共和国,M,宿泊業，飲食サービス業,3
1995,13,東京都,1,アジア州,105,中華人民共和国,N,生活関連サービス業，娯楽業,3
1995,13,東京都,1,アジア州,105,中華人民共和国,R,サービス業（他に分類されないもの）,16
1995,13,東京都,1,アジア州,106,台湾,A,農業，林業,1
1995,13,東京都,1,アジア州,106,台湾,D,建設業,17
1995,13,東京都,1,アジア州,106,台湾,E,製造業,176
1995,13,東京都,1,アジア州,106,台湾,H,運輸業，郵便業,10
1995,13,東京都,1,アジア州,106,台湾,I,卸売業，小売業,51
1995,13,東京都,1,アジア州,106,台湾,J,金融業，保険業,1
1995,13,東京都,1,アジア州,106,台湾,K,不動産業，物品賃貸業,2
1995,13,東京都,1,アジア州,106,台湾,M,宿泊業，飲食サービス業,3
1995,13,東京都,1,アジア州,106,台湾,N,生活関連サービス業，娯楽業,1
1995,13,東京都,1,アジア州,106,台湾,R,サービス業（他に分類されないもの）,4
1995,13,東京都,1,アジア州,108,香港,A,農業，林業,1
1995,13,東京都,1,アジア州,108,香港,C,鉱業，採石業，砂利採取業,1
1995,13,東京都,1,アジア州,108,香港,D,建設業,11
1995,13,東京都,1,アジア州,108,香港,E,製造業,134
1995,13,東京都,1,アジア州,108,香港,F,電気・ガス・熱供給・水道業,1
1995,13,東京都,1,アジア州,108,香港,G,情報通信業,9
1995,13,東京都,1,アジア州,108,香港,H,運輸業，郵便業,20
1995,13,東京都,1,アジア州,108,香港,I,卸売業，小売業,157
1995,13,東京都,1,アジア州,108,香港,J,金融業，保険業,21
1995,13,東京都,1,アジア州,108,香港,K,不動産業，物品賃貸業,16
1995,13,東京都,1,アジア州,108,香港,L,学術研究，専門・技術サービス業,3
1995,13,東京都,1,アジア州,108,香港,M,宿泊業，飲食サービス業,3
